task_id,task_type,compute_units,data_size_mb,deadline_sec,priority
T-0547,anomaly_detection,4.5,21.9,2.05,4
T-0548,image_processing,9.09,40.59,3.31,3
T-0549,image_processing,7.05,59.5,3.13,3
T-0550,object_tracking,4.72,20.0,1.54,5
T-0551,anomaly_detection,6.32,33.41,1.97,5
T-0552,image_processing,6.18,57.26,2.74,3
T-0553,terrain_mapping,11.68,65.37,5.44,4
T-0554,path_planning,2.64,5.08,1.09,5
T-0555,image_processing,8.29,42.39,3.17,2
T-0556,object_tracking,5.96,24.54,1.24,5
T-0557,anomaly_detection,6.32,24.66,1.56,4
T-0558,anomaly_detection,4.6,28.46,1.71,4
T-0559,terrain_mapping,9.47,89.16,5.5,2
T-0560,object_tracking,5.52,17.45,1.2,5
T-0561,path_planning,3.08,6.18,1.08,3
T-0562,image_processing,9.04,47.53,3.24,3
T-0563,path_planning,3.06,4.19,1.0,2
T-0564,anomaly_detection,4.28,33.82,2.13,4
T-0565,anomaly_detection,5.38,31.22,1.91,4
T-0566,terrain_mapping,8.3,77.03,4.65,2
T-0567,path_planning,2.58,7.25,1.17,5
T-0568,anomaly_detection,4.95,24.08,1.55,4
T-0569,object_tracking,4.22,16.06,1.47,5
T-0570,image_processing,8.14,59.29,2.71,3
T-0571,anomaly_detection,6.56,21.36,2.07,4
T-0572,object_tracking,4.08,23.36,1.4,2
T-0573,anomaly_detection,5.19,20.73,1.71,4
T-0574,path_planning,2.06,5.02,0.98,5
T-0575,path_planning,2.19,3.51,1.12,1
T-0576,path_planning,2.26,7.12,0.95,5
T-0577,image_processing,8.33,45.18,3.31,1
T-0578,path_planning,3.8,5.22,0.85,5
T-0579,anomaly_detection,4.37,34.13,1.54,4
T-0580,terrain_mapping,11.29,71.85,4.04,2
T-0581,path_planning,2.71,7.54,0.91,5
T-0582,path_planning,2.07,6.1,0.9,5
T-0583,terrain_mapping,11.53,74.37,4.13,2
T-0584,terrain_mapping,8.8,86.54,4.79,2
T-0585,object_tracking,5.59,24.89,1.67,5
T-0586,object_tracking,5.56,18.44,1.54,5
T-0587,anomaly_detection,4.54,24.78,1.65,4
T-0588,anomaly_detection,4.18,34.87,1.87,4
T-0589,path_planning,3.95,3.5,1.06,5
T-0590,image_processing,9.06,58.96,3.08,3
T-0591,terrain_mapping,9.42,85.18,5.27,2
T-0592,object_tracking,4.64,22.38,1.42,5
T-0593,anomaly_detection,6.84,28.45,1.89,4
T-0594,terrain_mapping,10.17,65.27,4.06,5
T-0595,path_planning,2.04,5.39,0.93,5
T-0596,path_planning,2.68,3.89,1.12,5
T-0597,image_processing,6.09,51.73,3.42,3
T-0598,object_tracking,5.72,24.61,1.42,5
T-0599,terrain_mapping,10.34,70.1,4.48,2
T-0600,terrain_mapping,11.17,88.82,4.97,2
T-0601,object_tracking,5.39,24.29,1.67,5
T-0602,object_tracking,5.63,18.78,1.64,5
T-0603,path_planning,3.46,7.74,1.18,5
T-0604,object_tracking,4.06,21.02,1.75,5
T-0605,path_planning,3.28,3.52,1.0,5
T-0606,image_processing,6.95,59.65,2.67,3
T-0607,image_processing,9.29,53.4,3.23,3
T-0608,image_processing,7.06,44.99,2.57,3
T-0609,image_processing,8.88,40.96,2.94,3
T-0610,path_planning,3.77,5.47,0.95,5
T-0611,image_processing,9.32,55.77,3.08,3
T-0612,path_planning,2.33,3.37,1.14,5
T-0613,anomaly_detection,4.78,21.57,1.74,4
T-0614,path_planning,3.46,5.74,1.16,5
T-0615,object_tracking,5.79,22.05,1.46,5
T-0616,object_tracking,5.78,16.57,1.26,5
T-0617,path_planning,2.82,5.77,1.17,5
T-0618,anomaly_detection,4.89,21.44,1.78,4
T-0619,terrain_mapping,8.61,70.82,4.64,2
T-0620,object_tracking,4.96,15.97,1.32,5
T-0621,image_processing,7.89,42.31,3.28,3
T-0622,anomaly_detection,4.27,28.16,1.63,4
T-0623,anomaly_detection,4.56,20.67,1.81,4
T-0624,anomaly_detection,5.69,22.27,1.99,3
T-0625,object_tracking,4.83,22.56,1.34,4
T-0626,object_tracking,4.84,20.36,1.72,5
T-0627,path_planning,2.95,3.39,1.16,5
T-0628,object_tracking,5.14,20.17,1.54,5
T-0629,path_planning,2.24,6.79,0.87,5
T-0630,path_planning,3.62,3.63,0.97,5
T-0631,terrain_mapping,8.81,84.68,4.22,2
T-0632,anomaly_detection,6.73,33.71,1.55,4
T-0633,terrain_mapping,10.21,85.7,4.78,2
T-0634,image_processing,9.15,52.46,3.02,3
T-0635,terrain_mapping,8.6,77.0,4.87,2
T-0636,image_processing,9.7,51.25,2.6,3
T-0637,object_tracking,5.76,23.78,1.36,5
T-0638,object_tracking,5.22,15.37,1.37,5
T-0639,terrain_mapping,8.16,86.69,4.5,2
T-0640,terrain_mapping,11.68,86.91,4.03,2
T-0641,anomaly_detection,4.93,32.64,2.1,4
T-0642,path_planning,2.27,7.87,0.98,5
T-0643,anomaly_detection,6.19,29.07,1.56,4
T-0644,terrain_mapping,10.96,82.78,5.3,2
T-0645,object_tracking,5.58,15.66,1.63,5
T-0646,object_tracking,5.76,15.29,1.32,5
T-0647,image_processing,7.0,49.13,3.42,3
T-0648,anomaly_detection,5.11,26.96,1.78,4
T-0649,image_processing,6.97,49.78,2.95,3
T-0650,terrain_mapping,10.35,70.49,4.25,2
T-0651,image_processing,7.14,47.73,2.66,3
T-0652,path_planning,3.71,6.24,1.07,5
T-0653,terrain_mapping,10.05,85.94,5.45,2
T-0654,terrain_mapping,11.65,79.42,4.9,3
T-0655,object_tracking,5.61,18.05,1.78,5
T-0656,terrain_mapping,11.58,85.55,4.69,2
T-0657,anomaly_detection,6.03,32.36,1.78,5
T-0658,anomaly_detection,5.68,28.91,1.7,4
T-0659,terrain_mapping,8.26,89.65,4.96,2
T-0660,anomaly_detection,5.97,34.28,1.96,4
T-0661,object_tracking,5.53,24.0,1.68,5
T-0662,object_tracking,4.81,18.2,1.28,4
T-0663,anomaly_detection,4.78,26.28,1.77,5
T-0664,path_planning,2.69,6.57,1.07,5
T-0665,terrain_mapping,11.63,80.16,4.76,2
T-0666,object_tracking,4.36,15.98,1.28,5
T-0667,object_tracking,5.53,16.83,1.61,5
T-0668,image_processing,6.89,44.47,3.37,3
T-0669,anomaly_detection,5.12,28.78,1.82,1
T-0670,object_tracking,5.16,21.21,1.48,5
T-0671,image_processing,9.47,47.63,2.8,2
T-0672,path_planning,3.98,4.71,1.19,5
T-0673,terrain_mapping,8.57,85.87,4.27,3
T-0674,path_planning,2.63,3.29,0.98,5
T-0675,path_planning,3.15,3.79,1.11,5
T-0676,path_planning,3.23,6.17,0.96,5
T-0677,terrain_mapping,8.02,76.01,5.1,2
T-0678,anomaly_detection,6.27,27.97,1.51,2
T-0679,path_planning,3.39,4.72,0.85,5
T-0680,object_tracking,4.61,15.65,1.23,5
T-0681,terrain_mapping,10.91,77.89,4.51,2
T-0682,path_planning,2.69,7.51,0.94,5
T-0683,terrain_mapping,8.08,66.73,5.48,2
T-0684,image_processing,8.36,43.38,2.87,3
T-0685,image_processing,7.5,52.81,3.27,3
T-0686,object_tracking,5.99,21.62,1.59,1
T-0687,terrain_mapping,9.78,63.71,4.38,2
T-0688,path_planning,3.39,6.15,0.92,5
T-0689,object_tracking,4.54,21.06,1.28,5
T-0690,image_processing,8.05,52.35,2.78,3
T-0691,terrain_mapping,8.79,65.99,4.39,2
T-0692,path_planning,2.72,5.05,0.86,5
T-0693,path_planning,3.38,5.4,0.89,1
T-0694,image_processing,9.34,53.38,2.65,5
T-0695,image_processing,8.89,42.03,2.76,3
T-0696,anomaly_detection,4.79,20.75,2.07,4
T-0697,anomaly_detection,5.08,30.15,1.8,1
T-0698,image_processing,9.41,53.27,2.67,3
T-0699,terrain_mapping,11.82,68.05,5.1,2
T-0700,anomaly_detection,4.55,26.01,2.17,4
T-0701,terrain_mapping,10.76,74.35,4.63,2
T-0702,path_planning,2.23,6.48,0.82,5
T-0703,path_planning,2.21,7.56,0.99,5
T-0704,terrain_mapping,8.73,71.39,4.54,2
T-0705,terrain_mapping,11.68,63.39,4.62,3
T-0706,anomaly_detection,4.04,33.02,1.87,4
T-0707,object_tracking,4.45,24.56,1.72,5
T-0708,object_tracking,4.19,21.62,1.35,5
T-0709,terrain_mapping,8.59,84.79,5.34,2
T-0710,image_processing,8.57,43.14,3.35,3
T-0711,path_planning,2.15,5.46,0.9,5
T-0712,image_processing,8.03,51.01,2.88,3
T-0713,image_processing,7.84,56.03,2.95,3
T-0714,terrain_mapping,9.26,89.42,5.12,4
T-0715,terrain_mapping,8.14,76.47,5.24,2
T-0716,object_tracking,5.28,23.9,1.54,5
T-0717,terrain_mapping,11.8,70.9,4.08,2
T-0718,terrain_mapping,9.33,83.02,4.9,2
T-0719,anomaly_detection,6.15,21.71,2.03,4
T-0720,anomaly_detection,5.07,29.5,2.06,4
T-0721,anomaly_detection,6.11,20.69,1.61,4
T-0722,image_processing,7.02,43.92,2.62,3
T-0723,path_planning,2.91,6.91,1.09,4
T-0724,image_processing,9.71,56.75,3.09,3
T-0725,terrain_mapping,9.83,77.68,4.76,2
T-0726,image_processing,8.12,40.97,3.44,3
T-0727,terrain_mapping,11.7,83.43,5.37,2
T-0728,path_planning,3.46,3.64,0.95,5
T-0729,anomaly_detection,5.51,25.77,2.19,4
T-0730,path_planning,2.55,7.82,1.19,5
T-0731,path_planning,2.28,6.01,1.15,5
T-0732,object_tracking,5.72,22.12,1.76,5
T-0733,path_planning,2.42,6.57,1.07,5
T-0734,path_planning,3.96,6.25,1.18,5
T-0735,anomaly_detection,6.13,31.41,1.89,4
T-0736,terrain_mapping,10.7,86.82,4.8,2
T-0737,terrain_mapping,11.23,75.68,4.04,1
T-0738,path_planning,2.53,6.93,1.19,5
T-0739,path_planning,3.68,6.45,0.92,5
T-0740,image_processing,7.43,49.05,3.12,3
T-0741,object_tracking,5.73,22.42,1.54,5
T-0742,anomaly_detection,6.08,20.7,1.77,4
T-0743,anomaly_detection,6.9,20.81,2.02,4
T-0744,terrain_mapping,11.32,87.34,5.06,2
T-0745,object_tracking,5.09,21.03,1.67,5
T-0746,anomaly_detection,5.35,34.75,1.55,4
T-0747,object_tracking,4.24,15.41,1.37,5
T-0748,path_planning,3.17,4.28,0.93,5
T-0749,path_planning,2.08,7.64,1.04,5
T-0750,object_tracking,5.69,18.01,1.67,5
T-0751,image_processing,9.14,46.36,2.72,3
T-0752,image_processing,9.15,43.19,3.04,3
T-0753,anomaly_detection,4.66,23.2,1.73,4
T-0754,path_planning,3.9,6.09,0.99,5
T-0755,image_processing,6.46,46.92,2.74,3
T-0756,object_tracking,4.49,15.4,1.73,5
T-0757,image_processing,7.54,50.8,2.78,3
T-0758,anomaly_detection,5.54,27.63,1.84,4
T-0759,path_planning,2.64,3.41,0.84,5
T-0760,object_tracking,5.07,21.27,1.33,5
T-0761,path_planning,3.73,5.12,0.84,5
T-0762,terrain_mapping,10.59,88.19,5.12,2
T-0763,terrain_mapping,10.87,61.14,4.11,2
T-0764,anomaly_detection,5.67,28.62,1.66,4
T-0765,terrain_mapping,9.8,72.13,4.47,2
T-0766,image_processing,8.14,52.83,3.12,3
T-0767,object_tracking,4.09,23.48,1.41,5
T-0768,anomaly_detection,6.36,24.52,1.56,4
T-0769,terrain_mapping,9.53,84.66,4.05,2
T-0770,path_planning,2.27,4.95,1.12,5
T-0771,path_planning,2.6,7.43,1.19,5
T-0772,anomaly_detection,6.87,20.17,2.11,1
T-0773,image_processing,8.29,47.88,3.05,2
T-0774,anomaly_detection,4.64,33.58,2.1,2
T-0775,path_planning,3.23,4.26,0.85,5
T-0776,object_tracking,5.7,23.51,1.76,5
T-0777,terrain_mapping,10.58,62.19,5.01,2
T-0778,path_planning,3.45,5.44,0.93,2
T-0779,image_processing,7.14,41.4,2.69,3
T-0780,anomaly_detection,5.85,24.59,1.91,4
T-0781,anomaly_detection,6.42,34.38,1.62,4
T-0782,path_planning,3.42,6.2,0.91,5
T-0783,anomaly_detection,6.63,26.94,1.75,4
T-0784,object_tracking,4.22,21.46,1.25,5
T-0785,path_planning,3.78,3.98,1.09,5
T-0786,image_processing,9.57,56.99,3.13,3
T-0787,object_tracking,4.81,20.9,1.74,5
T-0788,object_tracking,5.79,20.4,1.59,4
T-0789,path_planning,3.78,5.95,1.14,5
T-0790,object_tracking,4.18,18.64,1.21,5
T-0791,object_tracking,5.37,22.57,1.28,5
T-0792,object_tracking,5.9,21.59,1.78,5
T-0793,terrain_mapping,11.76,61.21,5.14,2
T-0794,anomaly_detection,5.11,20.64,1.64,4
T-0795,anomaly_detection,5.16,33.77,2.12,3
T-0796,image_processing,8.81,50.43,3.33,3
T-0797,anomaly_detection,5.74,28.55,1.76,4
T-0798,object_tracking,5.31,23.35,1.51,5
T-0799,path_planning,3.03,4.76,1.15,5
T-0800,terrain_mapping,11.55,60.2,5.32,2
T-0801,path_planning,2.15,6.22,0.88,5
T-0802,anomaly_detection,5.81,32.25,1.96,4
T-0803,anomaly_detection,6.16,27.22,1.84,4
T-0804,path_planning,3.29,5.05,0.9,5
T-0805,path_planning,2.27,5.56,1.16,2
T-0806,anomaly_detection,6.77,27.75,1.78,4
T-0807,image_processing,9.51,54.56,3.32,3
T-0808,path_planning,2.9,7.96,1.15,5
T-0809,terrain_mapping,10.4,83.84,5.23,2
T-0810,object_tracking,4.53,22.24,1.41,5
T-0811,object_tracking,4.14,18.78,1.28,5
T-0812,object_tracking,5.37,23.27,1.56,5
T-0813,object_tracking,5.2,23.78,1.52,5
T-0814,image_processing,7.93,42.61,3.1,3
T-0815,terrain_mapping,10.09,71.11,4.07,2
T-0816,path_planning,3.88,5.41,1.11,5
T-0817,object_tracking,4.2,16.34,1.49,5
T-0818,image_processing,7.13,57.54,2.91,3
T-0819,image_processing,8.31,42.36,2.51,3
T-0820,anomaly_detection,5.23,21.6,1.8,4
T-0821,anomaly_detection,6.56,26.35,1.76,4
T-0822,terrain_mapping,11.02,72.4,5.18,2
T-0823,anomaly_detection,5.68,27.26,2.19,4
T-0824,terrain_mapping,10.94,85.65,4.99,2
T-0825,terrain_mapping,11.13,88.48,4.15,2
T-0826,anomaly_detection,6.4,29.21,1.98,4
T-0827,image_processing,9.22,56.47,2.97,3
T-0828,image_processing,6.26,44.44,2.58,4
T-0829,terrain_mapping,10.46,75.63,5.07,2
T-0830,path_planning,3.28,5.19,0.88,5
T-0831,object_tracking,4.57,15.34,1.56,5
T-0832,path_planning,3.23,6.37,0.94,5
T-0833,path_planning,2.17,4.38,0.96,5
T-0834,terrain_mapping,10.34,75.53,5.11,1
T-0835,object_tracking,4.57,23.3,1.75,5
T-0836,anomaly_detection,4.68,34.45,1.82,4
T-0837,image_processing,7.04,48.14,2.61,3
T-0838,anomaly_detection,6.84,32.04,2.17,4
T-0839,object_tracking,4.5,19.43,1.43,5
T-0840,path_planning,3.51,7.81,0.98,5
T-0841,object_tracking,5.72,19.82,1.35,5
T-0842,path_planning,3.35,4.15,0.93,5
T-0843,object_tracking,5.07,22.01,1.36,5
T-0844,terrain_mapping,10.69,84.63,4.11,2
T-0845,terrain_mapping,9.26,66.56,4.86,2
T-0846,path_planning,3.0,4.0,1.09,5
T-0847,path_planning,2.46,7.17,1.13,5
T-0848,image_processing,6.48,41.57,3.46,3
T-0849,image_processing,9.06,50.83,2.54,3
T-0850,object_tracking,4.63,23.98,1.73,5
T-0851,anomaly_detection,5.47,34.77,2.14,4
T-0852,path_planning,3.5,3.64,1.01,5
T-0853,object_tracking,4.07,18.47,1.72,5
T-0854,terrain_mapping,11.91,80.95,4.69,2
T-0855,image_processing,8.7,47.59,2.6,3
T-0856,anomaly_detection,4.56,23.94,1.69,4
T-0857,anomaly_detection,5.1,27.48,1.65,4
T-0858,anomaly_detection,5.1,26.01,1.82,4
T-0859,object_tracking,5.37,23.14,1.63,5
T-0860,object_tracking,4.86,18.81,1.29,5
T-0861,path_planning,2.95,3.05,0.97,5
T-0862,object_tracking,5.44,22.85,1.38,5
T-0863,object_tracking,4.1,15.99,1.3,5
T-0864,anomaly_detection,5.43,29.45,1.81,4
T-0865,anomaly_detection,5.08,28.36,2.07,4
T-0866,terrain_mapping,8.48,86.02,5.44,2
T-0867,object_tracking,5.3,20.38,1.79,5
T-0868,anomaly_detection,6.02,27.31,2.02,4
T-0869,terrain_mapping,10.45,73.91,5.43,2
T-0870,anomaly_detection,5.27,29.18,1.78,4
T-0871,image_processing,6.65,44.56,2.82,3
T-0872,anomaly_detection,5.82,25.93,2.12,4
T-0873,anomaly_detection,6.24,27.81,1.82,4
T-0874,image_processing,6.5,44.69,2.75,3
T-0875,image_processing,6.84,47.94,2.6,3
T-0876,terrain_mapping,10.19,60.79,4.6,2
T-0877,image_processing,6.42,52.36,2.58,3
T-0878,terrain_mapping,9.24,67.42,4.43,2
T-0879,path_planning,3.05,3.85,0.81,5
T-0880,anomaly_detection,6.59,27.01,2.11,4
T-0881,object_tracking,4.89,24.7,1.62,5
T-0882,object_tracking,4.91,22.49,1.73,5
T-0883,object_tracking,4.62,18.47,1.52,5
T-0884,terrain_mapping,9.23,72.37,4.23,5
T-0885,path_planning,2.69,5.35,0.8,5
T-0886,terrain_mapping,9.2,82.98,5.2,2
T-0887,image_processing,8.19,43.77,3.38,3
T-0888,path_planning,2.33,6.69,0.96,5
T-0889,anomaly_detection,4.24,29.38,1.86,4
T-0890,object_tracking,5.62,21.85,1.37,5
T-0891,anomaly_detection,5.24,32.8,1.63,4
T-0892,terrain_mapping,10.47,68.16,4.93,2
T-0893,image_processing,6.61,59.39,2.52,3
T-0894,anomaly_detection,4.81,30.73,2.01,4
T-0895,path_planning,2.03,4.09,0.97,5
T-0896,terrain_mapping,11.99,73.91,5.19,2
T-0897,path_planning,2.11,6.88,0.83,5
T-0898,path_planning,3.79,4.25,0.95,2
T-0899,terrain_mapping,11.08,73.29,5.11,4
T-0900,image_processing,8.08,59.64,2.97,3
T-0901,anomaly_detection,6.81,22.38,2.01,4
T-0902,object_tracking,5.04,17.53,1.58,5
T-0903,image_processing,9.45,44.36,2.61,3
T-0904,anomaly_detection,4.05,31.92,1.91,4
T-0905,path_planning,2.02,3.21,1.11,5
T-0906,object_tracking,4.31,22.71,1.35,5
T-0907,object_tracking,4.68,24.7,1.66,3
T-0908,path_planning,3.4,6.96,0.85,5
T-0909,object_tracking,5.58,22.57,1.68,5
T-0910,path_planning,2.04,4.89,1.09,5
T-0911,image_processing,7.94,48.75,2.79,3
T-0912,path_planning,3.13,5.72,0.93,5
T-0913,object_tracking,5.83,20.55,1.24,5
T-0914,anomaly_detection,6.46,28.12,1.82,4
T-0915,object_tracking,4.76,16.86,1.21,5
T-0916,object_tracking,4.48,22.21,1.59,5
T-0917,terrain_mapping,8.76,80.5,5.15,2
T-0918,anomaly_detection,4.97,29.61,1.58,4
T-0919,image_processing,6.18,58.76,2.68,1
T-0920,terrain_mapping,8.77,60.95,4.96,2
T-0921,terrain_mapping,10.1,81.04,4.38,2
T-0922,object_tracking,5.44,15.13,1.75,5
T-0923,image_processing,7.87,52.78,2.86,3
T-0924,terrain_mapping,11.29,83.83,4.09,2
T-0925,object_tracking,4.08,15.7,1.38,5
T-0926,object_tracking,4.19,22.25,1.52,5
T-0927,object_tracking,5.31,20.7,1.77,5
T-0928,object_tracking,4.83,16.06,1.58,5
T-0929,terrain_mapping,10.81,72.81,4.16,2
T-0930,object_tracking,4.8,18.38,1.29,5
T-0931,terrain_mapping,11.73,87.07,4.83,2
T-0932,anomaly_detection,5.24,29.5,2.08,4
T-0933,path_planning,3.13,4.07,1.11,5
T-0934,anomaly_detection,5.08,26.79,2.17,1
T-0935,anomaly_detection,5.79,27.76,2.2,4
T-0936,anomaly_detection,6.95,23.22,1.72,4
T-0937,anomaly_detection,6.76,27.67,1.9,4
T-0938,image_processing,6.15,47.11,2.64,3
T-0939,object_tracking,4.5,17.56,1.38,5
T-0940,object_tracking,5.84,22.34,1.63,5
T-0941,path_planning,2.98,7.5,1.08,5
T-0942,image_processing,8.38,46.01,3.23,3
T-0943,image_processing,9.12,58.44,2.83,3
T-0944,terrain_mapping,9.67,86.03,5.3,2
T-0945,object_tracking,5.86,21.34,1.58,5
T-0946,image_processing,7.28,51.3,2.83,3
T-0947,path_planning,2.1,6.66,0.96,5
T-0948,object_tracking,5.15,15.9,1.46,5
T-0949,path_planning,2.26,3.41,1.03,4
T-0950,anomaly_detection,4.26,27.53,2.04,2
T-0951,terrain_mapping,10.24,74.64,4.98,2
T-0952,object_tracking,5.99,20.24,1.35,5
T-0953,terrain_mapping,9.29,87.72,4.13,2
T-0954,terrain_mapping,9.46,65.71,4.52,2
T-0955,anomaly_detection,4.51,25.25,2.08,4
T-0956,object_tracking,4.29,15.45,1.69,5
T-0957,anomaly_detection,4.47,30.93,1.56,4
T-0958,path_planning,3.9,7.63,1.15,5
T-0959,image_processing,7.37,56.09,2.81,3
T-0960,anomaly_detection,4.63,28.07,1.64,4
T-0961,anomaly_detection,5.65,29.35,2.19,4
T-0962,image_processing,7.51,58.12,3.03,3
T-0963,image_processing,7.14,55.78,3.12,1
T-0964,image_processing,7.55,45.43,3.35,3
T-0965,image_processing,6.08,57.35,3.15,3
T-0966,terrain_mapping,10.03,81.29,5.36,2
T-0967,object_tracking,5.06,16.86,1.5,5
T-0968,image_processing,6.16,58.45,2.8,3
T-0969,path_planning,2.04,6.42,0.94,5
T-0970,object_tracking,4.55,15.62,1.35,5
T-0971,image_processing,9.78,58.98,2.73,3
T-0972,terrain_mapping,10.63,62.63,4.57,2
T-0973,object_tracking,5.75,21.87,1.45,5
T-0974,terrain_mapping,11.88,87.29,4.49,2
T-0975,path_planning,3.3,5.91,1.07,5
T-0976,path_planning,2.62,6.53,1.01,2
T-0977,object_tracking,5.83,18.17,1.53,5
T-0978,image_processing,6.74,56.79,2.65,3
T-0979,terrain_mapping,11.84,69.1,5.12,2
T-0980,anomaly_detection,4.46,22.82,1.59,5
T-0981,object_tracking,4.53,20.67,1.34,5
T-0982,image_processing,7.44,53.76,2.98,3
T-0983,object_tracking,4.94,21.5,1.31,5
T-0984,terrain_mapping,8.55,65.8,4.05,2
T-0985,image_processing,9.7,59.0,2.72,3
T-0986,path_planning,3.52,3.33,1.17,5
T-0987,object_tracking,4.98,18.25,1.47,5
T-0988,terrain_mapping,11.1,78.24,5.24,2
T-0989,terrain_mapping,10.45,82.27,4.89,2
T-0990,image_processing,8.08,49.03,3.33,2
T-0991,object_tracking,5.08,24.84,1.22,5
T-0992,image_processing,6.76,48.79,3.38,3
T-0993,anomaly_detection,5.38,26.34,1.93,5
T-0994,path_planning,2.93,6.23,0.84,5
T-0995,path_planning,3.56,7.69,1.08,4
T-0996,anomaly_detection,5.35,22.68,1.91,4
T-0997,path_planning,3.77,3.45,0.93,5
T-0998,path_planning,3.44,3.62,0.85,5
T-0999,anomaly_detection,4.26,30.61,2.01,4
T-1000,object_tracking,5.9,18.79,1.43,5
T-1001,anomaly_detection,5.7,29.89,1.61,4
T-1002,path_planning,3.54,3.26,0.92,5
T-1003,terrain_mapping,9.16,65.42,5.35,2
T-1004,image_processing,8.49,45.06,2.96,3
T-1005,object_tracking,5.61,21.08,1.5,5
T-1006,terrain_mapping,9.81,73.26,4.9,5
T-1007,anomaly_detection,5.86,28.36,2.08,2
T-1008,image_processing,8.61,40.73,3.35,3
T-1009,object_tracking,4.6,24.2,1.23,5
T-1010,path_planning,2.32,4.42,1.06,5
T-1011,object_tracking,5.57,16.77,1.47,5
T-1012,image_processing,6.37,45.99,2.87,3
T-1013,image_processing,9.03,56.87,2.56,3
T-1014,image_processing,8.78,45.49,3.03,3
T-1015,path_planning,3.22,3.55,1.09,5
T-1016,image_processing,7.93,53.77,3.43,3
T-1017,anomaly_detection,5.28,32.72,1.68,4
T-1018,object_tracking,4.71,16.3,1.54,5
T-1019,terrain_mapping,9.97,65.4,4.91,2
T-1020,path_planning,2.0,3.12,1.05,2
T-1021,object_tracking,6.0,19.14,1.4,5
T-1022,path_planning,2.02,4.01,0.91,5
T-1023,anomaly_detection,4.9,28.25,2.04,3
T-1024,anomaly_detection,5.19,28.53,2.17,4
T-1025,path_planning,2.66,4.69,1.07,5
T-1026,image_processing,8.58,49.63,3.13,3
T-1027,object_tracking,5.79,19.62,1.69,5
T-1028,image_processing,9.34,45.99,3.22,3
T-1029,object_tracking,4.04,20.77,1.4,5
T-1030,anomaly_detection,4.2,22.24,2.09,4
T-1031,terrain_mapping,10.51,85.27,4.86,2
T-1032,object_tracking,4.23,22.82,1.38,5
T-1033,image_processing,7.09,41.74,3.38,3
T-1034,anomaly_detection,4.65,24.53,1.58,4
T-1035,path_planning,3.83,5.22,0.81,5
T-1036,object_tracking,4.31,18.4,1.49,5
T-1037,anomaly_detection,6.33,22.15,2.11,4
T-1038,object_tracking,5.35,16.33,1.63,5
T-1039,object_tracking,4.23,18.11,1.23,5
T-1040,image_processing,7.33,57.78,2.6,3
T-1041,anomaly_detection,4.07,31.38,1.95,4
T-1042,path_planning,2.39,4.38,0.93,5
T-1043,image_processing,7.09,43.15,2.61,3
T-1044,object_tracking,5.03,17.07,1.41,5
T-1045,path_planning,3.89,7.02,1.03,5
T-1046,anomaly_detection,5.84,25.08,1.81,4
T-1047,image_processing,6.42,41.08,2.93,3
T-1048,object_tracking,5.78,21.29,1.61,5
T-1049,anomaly_detection,4.94,32.26,2.0,4
T-1050,object_tracking,4.16,24.23,1.66,5
T-1051,image_processing,9.25,58.39,2.97,3
T-1052,terrain_mapping,9.88,88.42,4.22,2
T-1053,anomaly_detection,6.74,25.88,1.99,4
T-1054,anomaly_detection,5.36,20.45,1.83,4
T-1055,terrain_mapping,11.38,68.47,4.52,2
T-1056,object_tracking,4.21,23.18,1.68,5
T-1057,image_processing,9.17,50.65,2.9,3
T-1058,object_tracking,4.49,16.59,1.49,2
T-1059,object_tracking,4.86,24.8,1.54,5
T-1060,path_planning,2.35,6.35,1.1,5
T-1061,terrain_mapping,8.46,77.88,4.49,4
T-1062,path_planning,2.62,5.03,1.04,5
T-1063,object_tracking,5.54,18.79,1.5,5
T-1064,image_processing,6.87,42.78,3.08,3
T-1065,image_processing,9.03,53.22,2.95,3
T-1066,object_tracking,5.16,16.96,1.61,5
T-1067,object_tracking,5.59,21.8,1.75,5
T-1068,anomaly_detection,6.97,28.74,1.93,4
T-1069,path_planning,3.71,3.31,1.16,5
T-1070,image_processing,8.81,56.42,2.86,3
T-1071,image_processing,6.94,54.04,2.89,3
T-1072,terrain_mapping,9.62,73.06,4.32,2
T-1073,path_planning,2.38,4.92,1.17,5
T-1074,path_planning,2.58,7.36,0.85,1
T-1075,path_planning,3.44,5.43,0.97,5
T-1076,image_processing,6.55,56.12,3.36,3
T-1077,object_tracking,5.86,21.23,1.47,5
T-1078,terrain_mapping,9.54,66.77,4.64,4
T-1079,path_planning,3.42,4.35,1.17,5
T-1080,image_processing,9.91,51.36,3.2,4
T-1081,image_processing,6.57,54.63,3.48,3
T-1082,anomaly_detection,5.39,21.17,2.12,4
T-1083,image_processing,8.74,50.78,3.08,3
T-1084,anomaly_detection,5.61,20.16,1.82,4
T-1085,object_tracking,5.47,19.21,1.78,5
T-1086,anomaly_detection,4.5,30.43,1.92,4
T-1087,object_tracking,4.52,21.29,1.55,5
T-1088,anomaly_detection,6.43,29.36,1.7,5
T-1089,image_processing,9.41,45.56,2.63,3
T-1090,anomaly_detection,4.04,21.67,1.62,4
T-1091,path_planning,3.32,4.85,0.87,5
T-1092,path_planning,2.97,7.0,1.14,5
T-1093,image_processing,9.87,51.91,3.32,3
T-1094,terrain_mapping,11.08,67.14,4.66,2
T-1095,path_planning,3.16,7.21,0.82,5
T-1096,image_processing,6.21,49.28,2.98,3
